//verb, what, description, return, parameters
#file, item
copy, Item, "Copies the specified item or first item of selection if name is not given. Deprecated. Use copyItems instead.", string name, string name
copy, Items, "Copies the specified items or the current item selection if no item names are given. The names of items to copy can be provided as a string for copying a single object or as a list of strings to copy several items at once.", void, stringlist name
create, BezierLine, "", void, ""
create, Ellipse, "", void, ""
create, Image, "", void, ""
create, Line, "", void, ""
create, MasterPage, "", void, ""
create, PathText, "", void, ""
create, Polygon, "", void, ""
create, PolyLine, "", void, ""
create, Rectangle, "", void, ""
create, Table, "", void, ""
create, Text, "", void, ""
delete, Item, "", void, ""
duplicate, Item, "", void, ""
duplicate, Items, "", void, ""
set, ItemFlipped, "", void, ""
getAll, Items, "", void, ""
get, ItemAttributes, "", void, ""
get, ItemType, "", void, ""
get, SelectedItem, "", void, ""
group, Items, "", void, ""
set, ItemLocked, "", void, ""
move, Item, "", void, ""
move, ItemAbsolute, "", void, ""
item, Exists, "Check if an item exists", bool, string name
paste, Item, "", void, ""
paste, Items, "", void, ""
rotate, Item, "", void, ""
rotate, ItemAbsolute, "", void, ""
select, Item, "", void, ""
set, ItemName, "", void, ""
set, ItemAttributes, "", void, ""
size, Item, "", void, ""
unGroup, Item, "", void, ""
unGroup, Items, "", void, ""
